"","datasets","model","variable","value"
"7131","1","gacoxboost","bs1",249.892005135307
"7132","1","gacoxboost","bs1",365.957511518651
"7133","1","gacoxboost","bs1",215.672487818713
"7134","1","gacoxboost","bs1",211.798887311862
"7135","1","gacoxboost","bs1",303.939323580213
"7136","1","gacoxboost","bs1",253.739326343765
"7137","1","gacoxboost","bs1",254.216169862417
"7138","1","gacoxboost","bs1",213.517616006175
"7139","1","gacoxboost","bs1",247.868086476383
"7140","1","gacoxboost","bs1",355.672390281736
"7141","1","gacoxboost","bs1",202.161794985214
"7142","1","gacoxboost","bs1",216.348453658986
"7143","1","gacoxboost","bs1",240.983022510701
"7144","1","gacoxboost","bs1",315.757860324455
"7145","1","gacoxboost","bs1",409.921002279496
"7146","1","gacoxboost","bs1",235.2846902606
"7147","1","gacoxboost","bs1",300.855959321405
"7148","1","gacoxboost","bs1",293.952557633034
"7149","1","gacoxboost","bs1",248.471611521901
"7150","1","gacoxboost","bs1",240.715222234421
"7151","1","gacoxboost","bs1",205.272421927725
"7152","1","gacoxboost","bs1",396.191847872676
"7153","1","gacoxboost","bs1",213.74778820436
"7154","1","gacoxboost","bs1",273.847469228832
"7155","1","gacoxboost","bs1",278.385339872401
"7156","1","gacoxboost","bs1",285.311972521199
"7157","1","gacoxboost","bs1",268.580168750313
"7158","1","gacoxboost","bs1",281.037785944678
"7159","1","gacoxboost","bs1",213.383414266573
"7160","1","gacoxboost","bs1",263.755068760231
"7161","1","gacoxboost","bs1",238.323972932831
"7162","1","gacoxboost","bs1",314.822915225844
"7163","1","gacoxboost","bs1",240.266454013038
"7164","1","gacoxboost","bs1",341.537853024064
"7165","1","gacoxboost","bs1",203.922338845956
"7166","1","gacoxboost","bs1",248.65913093025
"7167","1","gacoxboost","bs1",240.304685910396
"7168","1","gacoxboost","bs1",277.915911994261
"7169","1","gacoxboost","bs1",262.142775153465
"7170","1","gacoxboost","bs1",289.242239265437
