"","datasets","model","variable","value"
"439170","15","coxboost","bs1",3.32865150999126
"439171","15","coxboost","bs1",3.25721501292344
"439172","15","coxboost","bs1",3.38307944811651
"439173","15","coxboost","bs1",3.77848306409147
"439174","15","coxboost","bs1",2.96915226128133
"439175","15","coxboost","bs1",4.38651861250398
"439176","15","coxboost","bs1",3.26173625424917
"439177","15","coxboost","bs1",3.15814120916406
"439178","15","coxboost","bs1",5.52365343815039
"439179","15","coxboost","bs1",2.89674322676263
"439180","15","coxboost","bs1",3.43296253521245
"439181","15","coxboost","bs1",3.08191262647741
"439182","15","coxboost","bs1",3.85733524389141
"439183","15","coxboost","bs1",3.44435428893425
"439184","15","coxboost","bs1",4.05719662781816
"439185","15","coxboost","bs1",3.80927393667916
"439386","15","gacoxboost","bs1",3.30492284517177
"439387","15","gacoxboost","bs1",3.54550993973187
"439388","15","gacoxboost","bs1",3.2806335388491
"439389","15","gacoxboost","bs1",2.93984574329796
"439390","15","gacoxboost","bs1",4.48362795660264
"439391","15","gacoxboost","bs1",3.36393842290486
"439392","15","gacoxboost","bs1",3.69594681359251
"439393","15","gacoxboost","bs1",3.64328586461279
"439394","15","gacoxboost","bs1",11.0282140073259
"439395","15","gacoxboost","bs1",2.77367407219167
"439396","15","gacoxboost","bs1",4.8799754785658
"439397","15","gacoxboost","bs1",3.16507775619243
"439398","15","gacoxboost","bs1",3.78446726981401
"439399","15","gacoxboost","bs1",2.59682988314645
"439400","15","gacoxboost","bs1",3.18663326956079
"439401","15","gacoxboost","bs1",3.57612894381632
"439402","15","gacoxboost","bs1",3.69002504455546
"439403","15","gacoxboost","bs1",3.75734698390578
"439404","15","gacoxboost","bs1",4.32737426591844
"439405","15","gacoxboost","bs1",2.83273551091959
"439406","15","gacoxboost","bs1",3.16234016227282
"439407","15","gacoxboost","bs1",6.11232240389475
"439408","15","gacoxboost","bs1",3.40788823334761
"439409","15","gacoxboost","bs1",3.36990888015763
"439410","15","gacoxboost","bs1",3.50907039914955
"439411","15","gacoxboost","bs1",3.8899039779666
"439412","15","gacoxboost","bs1",2.91934521106018
"439413","15","gacoxboost","bs1",3.63483455587906
"439414","15","gacoxboost","bs1",3.14300315454921
"439415","15","gacoxboost","bs1",3.72964955610638
"439416","15","gacoxboost","bs1",4.04080600703646
"439417","15","gacoxboost","bs1",2.80056011669586
"439418","15","gacoxboost","bs1",5.31804061789296
"439419","15","gacoxboost","bs1",3.24132673851825
"439420","15","gacoxboost","bs1",3.01986166510676
"439421","15","gacoxboost","bs1",2.86018841701536
"439422","15","gacoxboost","bs1",4.06150770650452
"439423","15","gacoxboost","bs1",3.82403335572929
"439424","15","gacoxboost","bs1",2.63185506437015
"439425","15","gacoxboost","bs1",3.45986163336791
"439426","15","gacoxboost","bs1",4.29625819810911
"439427","15","gacoxboost","bs1",3.70796618667478
"439428","15","gacoxboost","bs1",4.39732049561705
"439429","15","gacoxboost","bs1",3.40431086311146
"439430","15","gacoxboost","bs1",3.16771005779068
"439431","15","gacoxboost","bs1",4.85043349154879
"439432","15","gacoxboost","bs1",3.28796697140658
"439433","15","gacoxboost","bs1",4.04559537595564
"439434","15","gacoxboost","bs1",2.97759580640117
"439435","15","gacoxboost","bs1",2.93300259649031
"439436","15","gacoxboost","bs1",3.9671696000324
"439437","15","gacoxboost","bs1",3.28627955946036
"439438","15","gacoxboost","bs1",4.0917964276398
"439439","15","gacoxboost","bs1",4.30881805176539
"439440","15","gacoxboost","bs1",3.12130743285748
"439441","15","gacoxboost","bs1",3.79823834874182
"439442","15","gacoxboost","bs1",4.30716606581816
"439443","15","gacoxboost","bs1",3.55351160433376
"439444","15","gacoxboost","bs1",3.26325799610932
"439445","15","gacoxboost","bs1",3.16128185043723
"439446","15","gacoxboost","bs1",3.18085111381915
"439447","15","gacoxboost","bs1",5.81891770759176
"439448","15","gacoxboost","bs1",2.88923150116938
"439449","15","gacoxboost","bs1",3.79382312658507
"439450","15","gacoxboost","bs1",2.67787513273119
"439451","15","gacoxboost","bs1",3.91180143864036
"439452","15","gacoxboost","bs1",3.0883684968972
"439453","15","gacoxboost","bs1",7.39134907470501
"439454","15","gacoxboost","bs1",2.81029589457315
"439455","15","gacoxboost","bs1",2.78173963298515
"439456","15","gacoxboost","bs1",3.61110301038185
"439457","15","gacoxboost","bs1",3.80226315334178
"439458","15","gacoxboost","bs1",3.61890068605565
"439459","15","gacoxboost","bs1",2.62706220011049
"439460","15","gacoxboost","bs1",4.2717946139983
"439461","15","gacoxboost","bs1",3.683443433492
"439462","15","gacoxboost","bs1",3.55626302683294
"439463","15","gacoxboost","bs1",3.68488512655363
"439464","15","gacoxboost","bs1",3.32867693212527
"439465","15","gacoxboost","bs1",3.89917822966715
"439466","15","gacoxboost","bs1",2.94930426890114
"439467","15","gacoxboost","bs1",5.92831950675833
"439468","15","gacoxboost","bs1",3.58584995617582
"439469","15","gacoxboost","bs1",2.9557192200434
"439470","15","gacoxboost","bs1",3.19542378547829
"439471","15","gacoxboost","bs1",3.24661632115849
"439472","15","gacoxboost","bs1",2.89163968438503
"439473","15","gacoxboost","bs1",3.25505311185167
"439474","15","gacoxboost","bs1",3.03749866039083
"439475","15","gacoxboost","bs1",4.46768839224312
"439476","15","gacoxboost","bs1",3.27938398619814
"439477","15","gacoxboost","bs1",3.22909920489505
"439478","15","gacoxboost","bs1",5.52142834467386
"439479","15","gacoxboost","bs1",2.91585939065575
"439480","15","gacoxboost","bs1",3.42624497557299
"439481","15","gacoxboost","bs1",3.19934645895336
"439482","15","gacoxboost","bs1",3.81655257148211
"439483","15","gacoxboost","bs1",3.44785649831234
"439484","15","gacoxboost","bs1",4.25237258349662
"439485","15","gacoxboost","bs1",3.71790715265221
